,sepal_length_cm,sepal_width_cm,petal_length_cm,petal_width_cm
0,5.1,3.5,1.4,5.1
1,4.9,3.0,1.4,4.9
2,4.7,3.2,1.3,4.7
3,4.6,3.1,1.5,4.6
4,5.0,3.6,1.4,5.0
5,5.4,3.9,1.7,5.4
6,4.6,3.4,1.4,4.6
7,5.0,3.4,1.5,5.0
8,4.4,2.9,1.4,4.4
9,4.9,3.1,1.5,4.9
10,5.4,3.7,1.5,5.4
11,4.8,3.4,1.6,4.8
12,4.8,3.0,1.4,4.8
13,5.7,3.0,1.1,5.7
14,5.8,4.0,1.2,5.8
15,5.7,4.4,1.5,5.7
16,5.4,3.9,1.3,5.4
17,5.1,3.5,1.4,5.1
18,5.7,3.8,1.7,5.7
19,5.1,3.8,1.5,5.1
20,5.4,3.4,1.7,5.4
21,5.1,3.7,1.5,5.1
22,4.6,3.6,1.0,4.6
23,5.1,3.3,1.7,5.1
24,4.8,3.4,1.9,4.8
25,5.0,3.0,1.6,5.0
26,5.0,3.4,1.6,5.0
27,5.2,3.5,1.5,5.2
28,5.2,3.4,1.4,5.2
29,4.7,3.2,1.6,4.7
30,4.8,3.1,1.6,4.8
31,5.4,3.4,1.5,5.4
32,5.2,4.1,1.5,5.2
33,5.5,4.2,1.4,5.5
34,4.9,3.1,1.5,4.9
35,5.0,3.2,1.2,5.0
36,5.5,3.5,1.3,5.5
37,4.9,3.1,1.5,4.9
38,4.4,3.0,1.3,4.4
39,5.1,3.4,1.5,5.1
40,5.0,3.5,1.3,5.0
41,4.5,2.3,1.3,4.5
42,4.4,3.2,1.3,4.4
43,5.0,3.5,1.6,5.0
44,5.1,3.8,1.9,5.1
45,4.8,3.0,1.4,4.8
46,5.1,3.8,1.6,5.1
47,4.6,3.2,1.4,4.6
48,5.3,3.7,1.5,5.3
49,5.0,3.3,1.4,5.0
50,7.0,3.2,4.7,7.0
51,6.4,3.2,4.5,6.4
52,6.9,3.1,4.9,6.9
53,5.5,2.3,4.0,5.5
54,6.5,2.8,4.6,6.5
55,5.7,2.8,4.5,5.7
56,6.3,3.3,4.7,6.3
57,4.9,2.4,3.3,4.9
58,6.6,2.9,4.6,6.6
59,5.2,2.7,3.9,5.2
60,5.0,2.0,3.5,5.0
61,5.9,3.0,4.2,5.9
62,6.0,2.2,4.0,6.0
63,6.1,2.9,4.7,6.1
64,5.6,2.9,3.6,5.6
65,6.7,3.1,4.4,6.7
66,5.6,3.0,4.5,5.6
67,5.8,2.7,4.1,5.8
68,6.2,2.2,4.5,6.2
69,5.6,2.5,3.9,5.6
70,5.9,3.2,4.8,5.9
71,6.1,2.8,4.0,6.1
72,6.3,2.5,4.9,6.3
73,6.1,2.8,4.7,6.1
74,6.4,2.9,4.3,6.4
75,6.6,3.0,4.4,6.6
76,6.8,2.8,4.8,6.8
77,0.067,3.0,5.0,0.067
78,0.06,2.9,4.5,0.06
79,0.057,2.6,3.5,0.057
80,0.055,2.4,3.8,0.055
81,0.055,2.4,3.7,0.055
82,5.8,2.7,3.9,5.8
83,6.0,2.8,5.1,6.0
84,5.4,3.0,4.5,5.4
85,6.0,3.4,4.5,6.0
86,6.7,3.1,4.7,6.7
87,6.3,2.3,4.4,6.3
88,5.6,3.0,4.1,5.6
89,5.5,2.5,4.0,5.5
90,5.5,2.6,4.4,5.5
91,6.1,3.0,4.6,6.1
92,5.8,2.6,4.0,5.8
93,5.0,2.3,3.3,5.0
94,5.6,2.7,4.2,5.6
95,5.7,3.0,4.2,5.7
96,5.7,2.9,4.2,5.7
97,6.2,2.9,4.3,6.2
98,5.1,2.5,3.0,5.1
99,5.7,2.8,4.1,5.7
100,6.3,3.3,6.0,6.3
101,5.8,2.7,5.1,5.8
102,7.1,3.0,5.9,7.1
103,6.3,2.9,5.6,6.3
104,6.5,3.0,5.8,6.5
105,7.6,3.0,6.6,7.6
106,4.9,2.5,4.5,4.9
107,7.3,2.9,6.3,7.3
108,6.7,2.5,5.8,6.7
109,7.2,3.6,6.1,7.2
110,6.5,3.2,5.1,6.5
111,6.4,2.7,5.3,6.4
112,6.8,3.0,5.5,6.8
113,5.7,2.5,5.0,5.7
114,5.8,2.8,5.1,5.8
115,6.4,3.2,5.3,6.4
116,6.5,3.0,5.5,6.5
117,7.7,3.8,6.7,7.7
118,7.7,2.6,6.9,7.7
119,6.0,2.2,5.0,6.0
120,6.9,3.2,5.7,6.9
121,5.6,2.8,4.9,5.6
122,5.6,2.8,6.7,5.6
123,6.3,2.7,4.9,6.3
124,6.7,3.3,5.7,6.7
125,7.2,3.2,6.0,7.2
126,6.2,2.8,4.8,6.2
127,6.1,3.0,4.9,6.1
128,6.4,2.8,5.6,6.4
129,7.2,3.0,5.8,7.2
130,7.4,2.8,6.1,7.4
131,7.9,3.8,6.4,7.9
132,6.4,2.8,5.6,6.4
133,6.3,2.8,5.1,6.3
134,6.1,2.6,5.6,6.1
135,7.7,3.0,6.1,7.7
136,6.3,3.4,5.6,6.3
137,6.4,3.1,5.5,6.4
138,6.0,3.0,4.8,6.0
139,6.9,3.1,5.4,6.9
140,6.7,3.1,5.6,6.7
141,6.9,3.1,5.1,6.9
142,5.8,2.7,5.1,5.8
143,6.8,3.2,5.9,6.8
144,6.7,3.3,5.7,6.7
145,6.7,3.0,5.2,6.7
146,6.3,2.5,5.0,6.3
147,6.5,3.0,5.2,6.5
148,6.2,3.4,5.4,6.2
149,5.9,3.0,5.1,5.9
